year,subbasin,water_right_date,water_right_cat,shut_off_date,shut_off_julian
1996,sc_lw,10/14/1884,B,10/1/96,275
1996,sc_lw,6/1/1886,C,10/1/96,275
1997,bw_ab_magic,3/24/1883,A,10/1/97,274
1997,bw_ab_magic,10/14/1884,B,10/1/97,274
1997,bw_ab_magic,6/1/1886,C,10/1/97,274
1997,bw_bl_magic,3/24/1883,A,10/1/97,274
1997,bw_bl_magic,10/14/1884,B,10/1/97,274
1997,bw_bl_magic,6/1/1886,C,10/1/97,274
1997,sc_lw,3/24/1883,A,10/1/97,274
1997,sc_lw,10/14/1884,B,10/1/97,274
1997,sc_lw,6/1/1886,C,10/1/97,274
1998,bw_ab_magic,3/24/1883,A,10/1/98,274
1998,bw_ab_magic,10/14/1884,B,10/1/98,274
1998,bw_ab_magic,6/1/1886,C,9/1/98,244
1998,bw_bl_magic,3/24/1883,A,10/1/98,274
1998,bw_bl_magic,10/14/1884,B,10/1/98,274
1998,bw_bl_magic,6/1/1886,C,10/1/98,274
1998,sc_lw,3/24/1883,A,10/1/98,274
1998,sc_lw,10/14/1884,B,10/1/98,274
1998,sc_lw,6/1/1886,C,10/1/98,274
1999,bw_ab_magic,3/24/1883,A,10/1/99,274
1999,bw_ab_magic,10/14/1884,B,10/1/99,274
1999,bw_ab_magic,6/1/1886,C,8/12/99,224
1999,bw_bl_magic,3/24/1883,A,10/1/99,274
1999,bw_bl_magic,10/14/1884,B,10/1/99,274
1999,bw_bl_magic,6/1/1886,C,10/1/99,274
1999,sc_lw,3/24/1883,A,10/1/99,274
1999,sc_lw,10/14/1884,B,10/1/99,274
1999,sc_lw,6/1/1886,C,10/1/99,274
2000,bw_ab_magic,3/24/1883,A,8/16/00,229
2000,bw_ab_magic,10/14/1884,B,7/12/00,194
2000,bw_ab_magic,6/1/1886,C,7/5/00,187
2000,bw_bl_magic,3/24/1883,A,10/1/00,275
2000,bw_bl_magic,10/14/1884,B,10/1/00,275
2000,bw_bl_magic,6/1/1886,C,10/1/00,275
2000,sc_lw,3/24/1883,A,10/1/00,275
2000,sc_lw,10/14/1884,B,8/1/00,214
2000,sc_lw,6/1/1886,C,7/11/00,193
